complaint,category,urgency
pls note pls confirm if my old records at Old Market centre can be retrieved,healthcare,low
Just want to say that billing staff at the Green Park office keep sending us back for the same document again and again to be very frank.,electricity,medium
PLS SHARE GRIEVANCE OFFICER CONTACT FOR SUBHASH CHOWK AREA,ration_aadhar,low
the main pipeline has burst in Ward 21 and the whole road is flooded since morning honestly speaking.,water_supply,high
"hi, load shedding in Sector 14 is happening at exam time in the evening and students are suffering. we have complained earlier as well.",electricity,medium
Submitting this complaint to inform that requesting a water quality test report for the supply given to Gandhi Nagar.,water_supply,low
I wish to report that the ultrasound machine at New Basti works only twice a week and the slots are always full. Appreciate your help.,healthcare,medium
"look, our card in Subhash Chowk shows a member who left the household years ago like always. I have already spoken to the local office once.",ration_aadhar,medium
"pls confirm whether a rent agreement is accepted as address proof at Railway Quarters. I have attached nothing but can share photos if needed. no hurry, whenever possible.",ration_aadhar,low
It is requested to note that please confirm whether a rent agreement is accepted as address proof at Gandhi Nagar again and again. Thank you.,ration_aadhar,low
the OPD queue at Ward 21 centre takes over three hours even for a small consultation. kindly treat it as important.,healthcare,medium
"Respected sir, teh community tap in Ward 3 has a broken handle so it cannot be closed properly. Please arrange a solution soon.",water_supply,medium
"Hi, I would like information about the free medicine scheme available at the Nehru Colony centre to be very frank. This was also discussed in our last residents meeting.",healthcare,low
requesting that the collection vehicle in Dev Nagar come slightly later in the morning to be very frank. The same thing happened last year as well. please let us know the action taken.,sanitation,low
I want to know why a meter testing fee is chraged in Ward 3 and what it covers. I am writing on behalf of a few families in the lane. Awaiting your reply.,electricity,low
just want to say that I would like to apply for a new domestic water connection in Gandhi Nagar.,water_supply,low
The supply to the dialysis unit near Vivek Vihar keeps failing in the middle of treatment. Kripya jaldi karwa dijiye,electricity,high
"Respected sir, please share teh helpline for reporting overcharging by autos in Station Road. I have attached nothing but can share photos if needed.",roads_transport,low
a bus stand shelter in Bapu Nagar collapsed partially n people still wait under it again n again,roads_transport,high
The supply in the Jawahar Ward market is unstable adn shopkeepers' machines keep tripping again and again. Awiating ur reply.,electricity,medium
sir public toilet in Housing Board Colony is cleaned only in morning n stays dirty all day,sanitation,medium
Please share the timings of the Housing Board Colony electricity office counter. Thank you.,electricity,low
I would like to bring to your notice that our complaint about teh choked drain in Ward 7 has been closed without any work being done.,sanitation,medium
"hi, the garbage vehicle skips our lane in Krishna Colony about three days a week. Requesting the department to act",sanitation,medium
the Ward 18 shop does not display stock n rate board as required. Kindly forward this to right department if it is not yours,ration_aadhar,medium
Just want to say that my mobile number linked to Aadhaar in Rajiv Nagar is old adn teh update is not going through. pleasee share a complaint number so I can follow up. This has been going on for a while now.,ration_aadhar,medium
This is to inform the concerned department that our ration in Ward 3 was drawn by someone else using our card number to be very frank. Requesting urgent intervention.,ration_aadhar,high
requesting an SMS alert facility for supply timings in Rose Garden. I am available on my registered mobile number for any verification. thanks in advance.,water_supply,low
requesting road name boards at lane entries in Nehru Colony,roads_transport,low
sir speed breaker in New Basti is unmarked n too high for two-wheelers,roads_transport,medium
the Kisan Chowk centre is often closed on working din without any notice on the door again and again. Koi sunwai nahi ho rahi.,ration_aadhar,medium
"Respected sir, kindly let me know teh current water tariff slabs applicable in Station Road. Thank you.",water_supply,low
"hi, the garbage vehicle in Sector 14 does not use its bell so people miss it. We have complained earlier as well",sanitation,medium
Please arrange a dustbin for teh small park in Bank Colony. I am writing on behalf of a few famiiles in teh lane. Kindly treat it as important.,sanitation,low
Auto drivers in Shanti Kunj overcharge passengers and no action is ever taken. The same thing happened last year as well. please let us know the action taken.,roads_transport,medium
"Respected sir, the last bus from Ward 21 leaves too early for people returning from work. Would appreciate a quick response.",roads_transport,medium
I wish to report that power in Milan Vihar trips every time it drizzles a little and takes hours to come back. Please share a complaint number so I can follow up. We request immediate action before something bad happens.,electricity,medium
encroachment by shops has narrowed the Old Market road to half its width. we have complained earlier as well.,roads_transport,medium
sewage has overflowed into the ground floor houses of Ashok Vihar and people cannot stay inside. this needs attention today itself.,sanitation,high
I wish to report that our new connection in Station Road was approved but the pipe has not been laid yet. Please let us know the action taken.,water_supply,medium
just want to say that we filed a complaint about the Lajpat Nagar transformer humming loudly and nobody has come yet. Kindly look into the matter,electricity,medium
It is requested to note that requesting that the Lajpat Nagar bus stop be shifted fifty metres for easier access. Please inform at your convenience.,roads_transport,low
"hello sir, there is a dead animal found in the overhead tank that supplies Gandhi Nagar. we request immediate action before something bad happens.",water_supply,high
"Respected sir, water supply to the health centre in Rose Garden has been cut off and they cannot run the ward. Please arrange a solution soon.",water_supply,high
There is no footpath along the Teachers Colony market road so people walk on the carriageway. Many residents of the area feel the same way. Please arrange a solution soon.,roads_transport,medium
Submitting this complaint to inform that please confirm if my old records at the Tilak Ward centre can be retrieved even after so many complaints. I have attached nothing but can share photos if needed. Would appreciate a quick response.,healthcare,low
power out in Tilak Ward for two days n an old couple on ground floor is dependent on an oxygen concentrator like always,electricity,high
"Madam ji, there are no lights on the Nehru Colony bypass stretch and two accidents happened there this week as usual. Kripya jaldi karwa dijiye.",roads_transport,high
I need a duplicate copy of my last three bills for my New Basti address. I have attached nothing but can share photos if needed. please do it urgently if possible.,electricity,low
"Respected sir, a snake bite case from Ashok Vihar was turned away as no antivenom was available. Requesting urgent intervention.",healthcare,high
Please note please share the schedule of the next health camp near Civil Lines. This was also discussed in our last residents meeting. thanks in advance.,healthcare,low
The tanker for Bank Colony is scheduled at ten but usually arrives after two. Please do it urgently if possible.,water_supply,medium
"We are really fed up, the traffic at teh MG Road crossing is unmanaged during school hours. We request immediate action before something bad happens.",roads_transport,medium
the fogging vehicle has not visited Railway Quarters this season at all,sanitation,medium
"Look, the doctor at the Lajpat Nagar centre demanded money before attending to an emergency patient again and again.",healthcare,high
This is to inform the concerned department that I would like to volunteer for a plantation and cleaning drive in Railway Quarters. Awaiting your reply.,sanitation,low
pls share helpline for reporting overcharging by autos in Tilak Ward. kindly look into the matter.,roads_transport,low
"I wish to report that current is coming in our taps in Nehru Colony, it seems there is some earthing fault in the line. Please send someone immediately.",electricity,high
please note kindly inform whether the Bapu Nagar office accepts cash payments on Saturdays to be very frank. I have attached nothing but can share photos if needed. please arrange a solution soon.,electricity,low
please note requesting a cycle stand near the Kisan Chowk bus stop. Thanks in advance.,roads_transport,low
teh overhead tank in Dev Nagar has not been claened in a long time. Hoping for a permanent fix this time.,water_supply,medium
cattle waste is not being cleared from Civil Lines road near dairy as usual,sanitation,medium
Heavy waterlogging on the Rose Garden underpass traps vehicles every time it rains. Appreciate ur help.,roads_transport,high
a patient was bleeding in the Kisan Chowk casualty and waited over an hour with no attention. Kripya ek baar dekh lijiye.,healthcare,high
"We are really fed up, the operator at the Kisan Chowk centre asked for extra money to do a simple update",ration_aadhar,medium
"pls share the helpline for reporting overcharging by autos in New Basti. No hurry, whenever possible.",roads_transport,low
I would like to bring to your notice that the ration shop in Ashok Vihar opens only for two hours and closes without notice like always. Hoping for a permanent fix this time.,ration_aadhar,medium
"This is to inform the concerned department that requesting a feedback or suggestion box at the Krishna Colony health centre. No hurry, whenever possible.",healthcare,low
requesting a token system at Panchsheel Nagar centre to avoid crowding. The same thing happened last year as well,ration_aadhar,low
"Hi, the blood bank attached to Rose Garden says the storage unit has not been working properly. Requesting urgent intervention.",healthcare,high
"Look, please share details of the parking charges applicable in the Shanti Kunj market. Kindly guide me.",roads_transport,low
pleasee share the grievance officer contact for the Railway Quarters area. I am available on my registered mobile number for any verification. Thank you.,ration_aadhar,low
Please share the grievance officer contact for the New Basti area as usual. I am available on my registered mobile number for any verification.,ration_aadhar,low
"Requesting signage in the local language at the Subhash Chowk hospital again and again. Aap se request hai, dekh lijiye.",healthcare,low
I wish to report that pleae share teh fare chart for auto rickshaws oeprating from Sector 14.,roads_transport,low
just want to say that the bin provided to Anand Vihar is too small for the number of houses here. thanks in advance.,sanitation,medium
"Respected sir, I would like to apply for an instalment faciltiy for a pending bill in Model Town.",electricity,low
My adress correciton request from Tilak Ward has been pending for ten weeks as usual.,ration_aadhar,medium
"We are really fed up, please share teh helpline number that actually works for Bapu Nagar area faults honestly speaking. This was also discussed in our last residents meeting.",electricity,low
This is to inform the concerned department that my grandfather in Green Park has been without drinking water for 18 hours and we have no other source honestly speaking. Someone can get seriously hurt.,water_supply,high
"Bahut pareshani ho rahi hai, water pressure in Station Road has completely stopped and the summer heat is making it dangerous for elderly logon and nobody listens.",water_supply,high
"hi, requesting clearer signage at the MG Road Aadhaar centre for first time visitors. no hurry, whenever possible.",ration_aadhar,low
This is to inform the concerned department that please put up a board with supply timings at the Sector 11 main valve point. Requesting urgent intervention.,water_supply,low
"Bahut pareshani ho rahi hai, the Indira Colony hospital does not display the list of free services anywhere",healthcare,medium
"Bahut pareshani ho rahi hai, the Indira Colony Aadhaar centre gives only ten tokens a day and people return empty handed and nobody listens. Kindly treat it as important.",ration_aadhar,medium
a small dump has formed near Bharat Nagar bus stop as no bin there honestly speaking. kindly treat it as important.,sanitation,medium
"Hi, please share the timings of the Ward 21 electricity office counter. would appreciate a quick response",electricity,low
requesting nutrition advice sessions for young mothers at the Sun City centre as usual. Bahut dikkat ho rahi hai humein.,healthcare,low
"hi, there is no ramp or wheelchair at the Civil Lines centre for elderly patients.",healthcare,medium
"hello sir, medical certificates from the Green Park centre take four visits to get issued. we have complained earlier as well",healthcare,medium
The prepaid meter in Old Market deducts balance even when teh house is locked. Kindly treat it as important.,electricity,medium
just want to say that please share the fare chart for auto rickshaws operating from Station Road. I can be contacted in the evening after work hours.,roads_transport,low
"I WANT TO KNOW THE TIMINGS OF THE SAMPLE COLLECTION COUNTER AT THE SECTOR 9 HOSPITAL. I HAVE ATTACHED NOTHING BUT CAN SHARE PHOTOS IF NEEDED. NO HURRY, WHENEVER POSSIBLE.",healthcare,low
"Hi, a patient was bleeding in the Old Market casualty and waited over an hour with no attention as usual. please do it urgently if possible.",healthcare,high
please note water supply to the health centre in Milan Vihar has been cut off and they cannot run the ward. please do it urgently if possible.,water_supply,high
"I wish to report that the streetlight timer in Indira Colony is set wrong, lights stay on all day and go off at night. Kindly treat it as important.",electricity,medium
the ambulance stationed at Ward 18 is often used for other duties and is not available. Kindly forward this to the right department if it is not yours. please let us know the action taken.,healthcare,medium
"Look, the drain in Ward 7 is open in one stretch and smells very bad in the evening.",sanitation,medium
Kindly note that a dead animal has been lying near the Ward 3 dump for fifteen days and the smell is unbearable. We request immediate action before something bad happens.,sanitation,high
"hello sir, the transformer load in Rose Garden is not enough for the new houses and it trips daily. Hoping for a permanent fix this time.",electricity,medium
requesting a scheduled desilting of the Subhash Chowk drain before the monsoon.,sanitation,low
"please dhyan dijiye, the doctor at Ward 18 changes every few weeks so treatment is never continuous. Kindly guide me.",healthcare,medium
A child from Bharat Nagar with high fever was kept waiting as the staff had left the counter. Please send someone immediately.,healthcare,high
"madam ji, I would like to know whether the Housing Board Colony centre works on the second Saturday. Puri colony pareshan hai",ration_aadhar,low
a pole in Krishna Colony is tilted n needs straightening before next storm. I am writing on behalf of a few families in lane,electricity,medium
Requesting a reflective board at the Kisan Chowk turn for night visibility. Kindly forward this to teh right departmet if it is not yours,roads_transport,low
Requesting a speed breaker on the lane approaching the Civil Lines school. I have already spoken to the local office once. Hoping for a permanent fix this time.,roads_transport,low
This is to inform teh concerned department that requesting a public toilet for teh market area in Housing Board Colony.,sanitation,low
"Please note the entire lane in Sector 9 is covered with sewage after the line burst, ambulances cannot enter.",sanitation,high
The waiting area at the Housing Board Colony centre has no fans and patients sit in the heat like always. Kindly treat it as important.,healthcare,medium
An open manhole in Housing Board Colony has no cover adn a child nearly fell into it last evening.,sanitation,high
No electricity in Patel Nagar for 36 hours and the local health centre's backup has also failed like always. Koi sunwai nahi ho rahi.,electricity,high
Submitting this complaint to inform that the hand pump in Teachers Colony is the only source left and it has stopped working. Requesting urgent intervention.,water_supply,high
"Namaste sir, kindly tell me whether water bills for Ward 7 can be paid at the common service centre. Koi sunwai nahi ho rahi.",water_supply,low
"Madam ji, my neighbour in Sector 4 has been without drinking water for 48 hours and we have no other source. Puri colony pareshan hai.",water_supply,high
"We are really fed up, the Shiv Colony flyover expansion joint has come loose and vehicles jump over it.",roads_transport,high
The Bapu Nagar shop refuses to serve without a mobile OTP but our registered number is deactivated. Bahut dikkat ho rahi hai humein.,ration_aadhar,high
"Hi, the Station Road shop refuses to serve without a mobile OTP but our registered number is deactivated. we request immediate action before something bad happens.",ration_aadhar,high
"hi, requesting a repair estimate for shifting my water line inside the plot in Sector 14. Would appreciate a quick response.",water_supply,low
This is to inform the concerned department that the school bus route through Ward 21 passes a collapsed culvert with no barricade. Thank you,roads_transport,high
"please dhyan dijiye, my new connection application for Mill Area has been pending for six weeks with no update. Hoping for a permanent fix this time.",electricity,medium
"HELLO SIR, REQUESTING A REFLECTIVE BOARD AT THE OLD MARKET TURN FOR NIGHT VISIBILITY. I AM A REGULAR TAXPAYER OF THIS WARD. KINDLY TREAT IT AS IMPORTANT.",roads_transport,low
"Respected sir, the timetable displayed at the Old Market bus stop is several years old. Awaiting your reply.",roads_transport,medium
please note a child from Housing Board Colony with high fever was kept waiting as the staff had left the counter. Kindly treat this as an emergency.,healthcare,high
THE PAANI BILL FOR OUR GREEN PARK HOUSE HAS ARRIVED WITH THE WRONG CONNECTION NUMBER. KOI SUNWAI NAHI HO RAHI.,water_supply,medium
the drain in Sector 11 is completely blocked n dirty water has entered school compound,sanitation,high
"please dhyan dijiye, the speed breaker in Panchsheel Nagar is unmarked and too high for two-wheelers. Aap se request hai, dekh lijiye.",roads_transport,medium
"Hello sir, please share the list of items and quantities available at the Sector 4 ration shop. The same thing happened last year as well. thanks in advance",ration_aadhar,low
requesting a notice board at Ward 7 office showing scheduled maintenance days. please let us know the action taken.,electricity,low
"Sir ji, our ration in Sector 14 was drawn by someone else using our card number. Please do not delay this further",ration_aadhar,high
pls note waterlogging on Housing Board Colony road stays for hours after even a short shower,roads_transport,medium
I want to know why a meter testing fee is charged in Ward 12 n what it covers. This was also discussed in our last residents meeting. appreciate your help.,electricity,low
"Madam ji, my grandfather is bedridden in Dev Nagar and biometric verification is impossible, ration has stopped completely. Puri colony pareshan hai",ration_aadhar,high
sir pls confirm last date of payment for current cycle in Panchsheel Nagar. The same thing happened last year as well,electricity,low
Kindly note that requesting a shed outside teh Ward 21 centre for people waiting in teh queue,ration_aadhar,low
pls note community tap in Ward 18 has a broken handle so it cannot be closed properly,water_supply,medium
please tell me the documents needed for a temporary connection during a function in Model Town. Thanks in advance.,electricity,low
Kindly note that the generator at the Bapu Nagar hospital failed during a procedure and the lights went off.,healthcare,high
the drain near the Ashok Vihar park has been giving a bad smell for over a month as usual. please let us know the action taken,sanitation,medium
"we are really fed up, life saving medicines are not available at the Bharat Nagar centre and patients are told to buy outside. I am ready to show the spot to your team any time.",healthcare,high
requesting a public seating bench near Krishna Colony crossing. I checked with neighbours before writing this. hoping for a permanent fix this time.,roads_transport,low
Just want to say that lab reports from the Gandhi Nagar hospital take twelve days when they were pormised the same day.,healthcare,medium
the bins at Ashok Vihar crossing are always overflowing by afternoon. this has been going on for a while now.,sanitation,medium
I would like to bring to your notice that the garbage vehicle in Housing Board Colony does not use its bell so people miss it. Please share a complaint number so I can follow up. Please send someone immediately.,sanitation,medium
the public toilet in Ward 12 is cleaned only in the morning and stays dirty all day. Kindly look into the matter.,sanitation,medium
"hi, is there any plan to shift to underground cabling in Ward 12 in the coming years.",electricity,low
I would like to bring to your notice that stagnant sewage in Green Park has been breeding mosquitoes and half the lane is down with fever like always.,sanitation,high
sir a long queue at Ward 12 centre from early morning n no seating arrangement. this has been going on for a while now.,ration_aadhar,medium
"Bahut pareshani ho rahi hai, kindly tell me whether paani bills for Tilak Ward can be paid at the common service centre. Puri colony pareshan hai.",water_supply,low
Please note the appointment I booked online for the Sector 9 centre was not honoured. I checked with the neighbours before writing this. this has been going on for a while now,ration_aadhar,medium
Submitting this complaint to inform that the only ventilator at the Housing Board Colony facility has been non-functional for weeks.,healthcare,high
I would like to surrender an unused second connection at my Sector 11 property.,electricity,low
"we are really fed up, requesting a drinking water point near the bus stop in Ward 21 even after so many complaints. I am available on my registered mobile number for any verification. Thanks in advance.",water_supply,low
the appointment I booked online for the Ward 21 centre was not honoured.,ration_aadhar,medium
maggots n rats have spread from uncollected garbage in Rajiv Nagar into nearby houses,sanitation,high
"Hi, the meter box in our Sector 4 building started smoking and we had to shut everything down. I am ready to show the spot to your team any time.",electricity,high
the only ventilator at Sector 9 facility non-functional for weeks. kindly look into the matter.,healthcare,high
Our line in Sector 4 was disconnected by mistake even though the bill was paid last week. Puri colony pareshan hai.,electricity,medium
"just want to say that my father is bedridden in Bharat Nagar and biometric verification is impossible, ration has stopped completely and nobody listens.",ration_aadhar,high
a public tap in Ward 3 has been running continuously for three days and the water is going waste. Kripya jaldi karwa dijiye,water_supply,medium
waterlogging on Anand Vihar road stays for hours after even a short shower. we have complained earlier as well.,roads_transport,medium
"Look, expired medicines were given to patients at the Ward 3 centre. requesting urgent intervention.",healthcare,high
"namaste sir, requesting a shed outside the Shanti Kunj centre for logon waiting in the queue. Kripya ek baar dekh lijiye.",ration_aadhar,low
our card in Ashok Vihar shows a member who left household years ago. I can be contacted in evening after work hours. would appreciate a quick response.,ration_aadhar,medium
the ambulance for Sun City did not arrive even after 18 calls n we had to arrange a private vehicle,healthcare,high
"madam ji, requesting that the Model Town shop display the monthly allotment on a board. Aap se request hai, dekh lijiye.",ration_aadhar,low
Submtiting this complaint to inform that requesting a feedback or suggestion box at teh Ashok Vihar health centre. Kindly treat it as important.,healthcare,low
This is to inform the concerned department that the sewage pump in Shanti Kunj has failed and dirty water is spreading towards the drinking water line and nobody listens.,sanitation,high
I wish to report that an open manhole in Rose Garden has no cover and a child nearly fell into it last evening. I have already spoken to the local office once.,sanitation,high
"Look, people are dumping household waste in the empty plot in Ward 18 every night. We have complained earlier as well.",sanitation,medium
teh school in Panchsheel Nagar has had no watar for twelve days and children are being sent home. Kindly treat this as an emergency.,water_supply,high
I WISH TO REPORT THAT OUR COMPLAINT ABOUT THE CHOKED DRAIN IN SECTOR 4 HAS BEEN CLOSED WITHOUT ANY WORK BEING DONE. WE HAVE COMPLAINED EARLIER AS WELL,sanitation,medium
pls share details of parking charges applicable in Shiv Colony market. I am writing on behalf of a few families in lane. please do it urgently if possible.,roads_transport,low
Submitting this complaint to inform that water logging near the Indira Colony supply valve has made it hard to reach during repairs to be very frank. Hoping for a permanent fix this time.,water_supply,medium
"requesting that the Model Town bus stop be shifted fifty metres for easier access as usual. no hurry, whenever possible",roads_transport,low
I wish to report that the ambulance for Model Town did not arrive even after 48 calls and we had to arrange a private vehicle. Please inform at your convenience,healthcare,high
It is requested to note that please tell me the documents needed for a temporary connection during a function in Shiv Colony. Awaiting your reply.,electricity,low
"I would like to bring to your notice that current is coming in our taps in Indira Colony, it seems there is some earthing fault in the line.",electricity,high
Please note a blocked sewer line in Sun City has been overflowing on the main road for twelve days. Please send someone immediately.,sanitation,high
"Look, my father in Gandhi Nagar has develpoed a skin infection after the sewage flooded teh lane. Please do not delay this further.",sanitation,high
"please dhyan dijiye, the Anand Vihar lane gets water only when someone calls the office repeatedly.",water_supply,medium
a deep pothole on Civil Lines main road caused a serious accident yesterday evening n nobody listens,roads_transport,high
Just want to say that please tell me the documents needed for a temporary connection during a function in Indira Colony. Kindly guide me.,electricity,low
"the waiting area at the Railway Quarters centre has no fans and patients sit in the heat. Aap se request hai, dekh lijiye.",healthcare,medium
"Please confirm the office timings of the water works division covering Milan Vihar to be very frank. Kindly forward this to the right department if it is not yours. no hurry, whenever possible.",water_supply,low
"Respected sir, our line in Housing Board Colony was disconnected by mistake even though the bill was paid last week.",electricity,medium
I would like to bring to your notice that leaves and silt cleared from the Sector 9 drain were left piled beside it and never removed.,sanitation,medium
REQUESTING A REPAIR ESTIMATE FOR SHIFTING MY WATER LINE INSIDE THE PLOT IN WARD 21 HONESTLY SPEAKING. PLEASE INFORM AT YOUR CONVENIENCE.,water_supply,low
pls tell me documents needed for a temporary connection during a function in Sector 11. awaiting your reply.,electricity,low
Please note please tell me the documents needed for a temporary connection during a function in Model Town. The same thing happened last year as well. would appreciate a quick response.,electricity,low
It is requested to note that please confirm if my old records at the Sector 9 centre can be retrieved. Kindly forward this to the right department if it is not yours. Awaiting your reply.,healthcare,low
"Respected sir, there is no ramp or wheelchair at teh Ward 18 centre for elderly patients as usual. This has been going on for a while now",healthcare,medium
I would like to bring to ur notice that no electricity in Old Market for ten hours and the local health centre's backup has also failed. Appreciate your help.,electricity,high
Kindly note that the ambulance stationed at Sector 9 is often used for other duties and is not available. I can be contacted in the evening after work hours. Requesting the department to act.,healthcare,medium
"Bahut pareshani ho rahi hai, please share the fare chart for auto rickshaws operating from Jawahar Ward as usual. Puri colony pareshan hai.",roads_transport,low
requesting a repair estimate for shifting my water line inside plot in Rose Garden,water_supply,low
"madam ji, a wire has fallen on a parked vehicle in MG Road and it is sparking every few seconds. Koi sunwai nahi ho rahi.",electricity,high
A bus stand shelter in Sector 14 collapsed partially and people still wait under it. The same thing happened last year as well. Someone can get seriously hurt.,roads_transport,high
a child from Teachers Colony with high fever was kept waiting as the staff had left the counter.,healthcare,high
The vaccine fridge at the Kisan Chowk centre has been without power for 48 hours. We request immediate action before something bad happens.,healthcare,high
sir public toilet at Dev Nagar bus stand is overflowing n unusable to be very frank,sanitation,high
please note please tell me the process to get a duplicate health card issued in Jawahar Ward. Awaiting your reply,healthcare,low
"Sir ji, please inform the process for adopting the Ward 3 park for maintenance. Bahut dikkat ho rahi hai humein.",sanitation,low
Sumbitting this complaint to inform that requesting an awareness programme on hygiene in the Nehru Colony school.,sanitation,low
"look, requesting a help desk for elderly applicants at the Sector 5 centre even after so many complaints. Many residents of the area feel the same way. Thanks in advance.",ration_aadhar,low
"Please dhyan dijiye, the voltage in Model Town is so low that neither the fan nor the motor runs properly. Kripya ek baar dekh lijiye.",electricity,medium
the bins at Station Road crossing are always overflowing by afternoon. please let us know the action taken,sanitation,medium
"Hello sir, mosquitoes and flies have increased a lot in New Basti due to poor cleaning. Please arrange a solution soon.",sanitation,medium
"namaste sir, please inform when the annual tank cleaning is planned for Sector 14. Awaiting your reply.",water_supply,low
I wish to report that a deep pothole on the Dev Nagar main road caused a serious accident yesterday evening. Please share a complaint number so I can follow up. I am ready to show the spot to your team any time.,roads_transport,high
I would like to bring to your notice that our Milan Vihar colony has been without supply for 20 days and the fire hydrant is also dry,water_supply,high
It is requested to note that requesting that the bill be delivered by post as well for elderly residents of Ward 7 as usual. Kindly guide me,electricity,low
pls share rules regarding keeping bins outside shops in Shanti Kunj again n again. The same thing happened last year as well,sanitation,low
"we are really fed up, the Tilak Ward road is full of potholes and becomes very difficult during the rains. Please do it urgently if possible.",roads_transport,medium
It is requested to note that the valve operator for Civil Lines opens the line for the other side first and we get very little. This has been going on for a while now.,water_supply,medium
"Respected sir, requesting nutrition advice sessions for young mothers at the Bapu Nagar centre. Please inform at your convenience.",healthcare,low
I would like to bring to your notice that supply timings in New Basti keep changing without any information to residents. Thank you.,water_supply,medium
"Hi, please share the fare chart for auto rickshaws operating from Model Town. This was also discussed in our last residents meeting.",roads_transport,low
"we are really fed up, sewage seems to be mixing with the drinking water line in Dev Nagar, the water smells foul. Please do not delay this further.",water_supply,high
"sir ji, the drain in Subhash Chowk is completely blocked and dirty paani has entered the school compound. Puri colony pareshan hai.",sanitation,high
"hi, the meter box in our Gandhi Nagar building started smoking and we had to shut everything down. requesting urgent intervention.",electricity,high
I would like to bring to ur notice that I want to know how to report illegal dumping in Dev Nagar online as usual. Kindly forward this to the right department if it is not yours. Please inform at your conevnience.,sanitation,low
please note the pressure in Nehru Colony is so low that water does not reach the first floor. I can be contacted in the evening after work hours. Hoping for a permanent fix this time.,water_supply,medium
encroachment by shops has narrowed the Civil Lines sadak to half its width even after so many complaints. I am a regular taxpayer of this ward. Kindly look into the matter.,roads_transport,medium
Submitting this complaint to inform that the vaccination day at New Basti is changed without informing anyone honestly speaking. Please arrange a solution soon.,healthcare,medium
requesting a water quality test report for supply given to Nehru Colony. I can be contacted in evening after work hours,water_supply,low
Requesting a speed breaker on the lane approaching the Anand Vihar school. I checked with the neighbours before writing this. thanks in advance.,roads_transport,low
please note the railway crossing gate near Ashok Vihar is often left unmanned and people cross recklessly.,roads_transport,high
"sir ji, I need a duplicate copy of my last three bills for my Sun City address. I am available on my registered mobile number for any verification. Kripya ek baar dekh lijiye.",electricity,low
It is requested to note that teh emergency ward in Shanti Kunj was locked at night and teh staff could not be found. This needs attention today itself.,healthcare,high
Requesting information about the water tanker schedule for Tilak Ward. I am available on my registered mobile number for any verification. Appreciate your help,water_supply,low
pls note pls confirm if my old records at Model Town centre can be retrieved,healthcare,low
Kindly note that auto drivers in Mill Area overcharge passengers and no action is ever taken.,roads_transport,medium
the water bill for our Ward 7 house has arrived with the wrong connection number. Requesting the department to act.,water_supply,medium
pls share working days n timings of Aadhaar centre in Ward 12. I am writing on behalf of a few families in lane,ration_aadhar,low
teh road sweeipng in Jawahar Ward is done at noon when there is heavy traffic adn nobody listens.,sanitation,medium
"look, the community tap in Tilak Ward has a broken handle so it cannot be closed properly. would appreciate a quick response.",water_supply,medium
It is requested to note that the Lajpat Nagar shop does not give the sugar and oil portion regularly and nobody listens. Would appreciate a quick response.,ration_aadhar,medium
Please share the updated timetable for buses passing through Green Park. Kindly forward this to the right department if it is not yours. Kripya jaldi karwa dijiye.,roads_transport,low
"Respected sir, the voltage in Shiv Colony is so low that neither the fan nor the motor runs properly even after so many complaints. Hoping for a permanent fix this time.",electricity,medium
requesting that the Teachers Colony bus stop be shifted fifty metres for easier access. thank you.,roads_transport,low
pls note I would like to surrender an extra ration card held at my old Ward 21 address,ration_aadhar,low
"look, water pressure in Rose Garden has completely stopped and the summer heat is making it dangerous for elderly people. I am ready to show the spot to your team any time.",water_supply,high
Just want to say that our card in Rose Garden shows a member who left teh household years ago adn nobody lsitens.,ration_aadhar,medium
"Hello sir, requesting a camp for Aadhaar updates in the Ashok Vihar school for praents.",ration_aadhar,low
This is to inform the concerned department that garbage has been dumped right next to the drinking water tank in Krishna Colony. Someone can get seriously hurt,sanitation,high
"Respected sir, water pressure in Teachers Colony has completely stopped and the summer heat is making it dangerous for elderly people.",water_supply,high
a deep pothole on the Panchsheel Nagar main sadak caused a serious accident yesterday evening even after so many complaints. Kripya ek baar dekh lijiye,roads_transport,high
just want to say that common medicines like painkillers are frequently out of stock at the Bapu Nagar centre. I have attached nothing but can share photos if needed. Kindly look into the matter.,healthcare,medium
"Please dhyan dijiye, requesting that the collection vehicle in Sector 5 come slightly later in the morning. Aap se request hai, dekh lijiye.",sanitation,low
I want to know why a meter testing fee is charged in Green Park and what it covers. Kindly forward this to the right department if it is not yours. this has been going on for a while now.,electricity,low
"HELLO SIR, I WOULD LIKE TO VOLUNTEER FOR A PLANTATION AND CLEAINNG DRIVE IN TILAK WARD. APPREICATE YOUR HELP.",sanitation,low
I WOULD LIKE TO BRING TO YOUR NOTICE THAT THE METER BOX IN OUR CIVIL LINES BUILDING STARTED SMOKING AND WE HAD TO SHUT EVERYTHING DOWN.,electricity,high
I wish to report that heavy waterlogging on the Nehru Colony underpass traps vehicles every time it rains. We request immediate action before something bad happens.,roads_transport,high
requesting information about home composting support for households in Tilak Ward,sanitation,low
"Bahut pareshani ho rahi hai, please share details of the parking charges applicable in the Shanti Kunj market. Koi sunwai nahi ho rahi.",roads_transport,low
just want to say that I would like information about the free medicine scheme available at the Housing Board Colony centre. I am writing on behalf of a few families in the lane.,healthcare,low
